image_file,field,Gemini_value,Azure DI_value,Gemini_normalised,Azure DI_normalised,status,similarity,Azure DI_field_confidence,chosen_value,reason
batch1-0339.jpg,invoice_date,08/03/2019,08/03/2019,2019-08-03,2019-08-03,match,1.0,0.942,08/03/2019,both readers agree
batch1-0339.jpg,net_worth,"5 587,91","$ 5 587,91",5587.91,5587.91,match,1.0,0.786,"5 587,91",both readers agree
batch1-0339.jpg,vat,"558,79","$ 558,79",558.79,558.79,match,1.0,0.915,"558,79",both readers agree
batch1-0339.jpg,gross_worth,"6 146,70","$ 6 146,70",6146.70,6146.70,match,1.0,0.916,"6 146,70",both readers agree
batch1-0340.jpg,seller_name,Daniel-Morrison,Daniel-Morrison,daniel morrison,daniel morrison,match,1.0,0.97,Daniel-Morrison,both readers agree
batch1-0340.jpg,seller_tax_id,995-99-6193,,995996193,,one_missing,0.0,,995-99-6193,only Gemini found a value (uncorroborated)
batch1-0340.jpg,client_name,"Snyder, Benton and Reed","Snyder, Benton and Reed",snyder benton and reed,snyder benton and reed,match,1.0,0.926,"Snyder, Benton and Reed",both readers agree
batch1-0340.jpg,client_tax_id,999-86-4010,,999864010,,one_missing,0.0,,999-86-4010,only Gemini found a value (uncorroborated)
batch1-0340.jpg,invoice_number,82977013,82977013,82977013,82977013,match,1.0,0.971,82977013,both readers agree
batch1-0340.jpg,invoice_date,12/06/2013,12/06/2013,2013-12-06,2013-12-06,match,1.0,0.97,12/06/2013,both readers agree
batch1-0340.jpg,net_worth,"244,99","$ 244,99",244.99,244.99,match,1.0,0.723,"244,99",both readers agree
batch1-0340.jpg,vat,"24,50","$ 24,50",24.50,24.50,match,1.0,0.76,"24,50",both readers agree
batch1-0340.jpg,gross_worth,"269,49","$ 269,49",269.49,269.49,match,1.0,0.925,"269,49",both readers agree
batch1-0341.jpg,seller_name,Collins Group,Collins Group,collins group,collins group,match,1.0,0.938,Collins Group,both readers agree
batch1-0341.jpg,seller_tax_id,942-76-9532,942-76-9532,942769532,942769532,match,1.0,0.534,942-76-9532,both readers agree
batch1-0341.jpg,client_name,Pope LLC,Pope LLC,pope,pope,match,1.0,0.936,Pope LLC,both readers agree
batch1-0341.jpg,client_tax_id,918-70-1520,918-70-1520,918701520,918701520,match,1.0,0.415,918-70-1520,both readers agree
batch1-0341.jpg,invoice_number,86225018,86225018,86225018,86225018,match,1.0,0.956,86225018,both readers agree
batch1-0341.jpg,invoice_date,12/18/2015,12/18/2015,2015-12-18,2015-12-18,match,1.0,0.944,12/18/2015,both readers agree
batch1-0341.jpg,net_worth,"5 409,72","$ 5 409,72",5409.72,5409.72,match,1.0,0.889,"5 409,72",both readers agree
batch1-0341.jpg,vat,"540,97","$ 540,97",540.97,540.97,match,1.0,0.905,"540,97",both readers agree
batch1-0341.jpg,gross_worth,"5 950,69","$ 5 950,69",5950.69,5950.69,match,1.0,0.915,"5 950,69",both readers agree
batch1-0342.jpg,seller_name,Love Inc,Love Inc,love,love,match,1.0,0.943,Love Inc,both readers agree
batch1-0342.jpg,seller_tax_id,960-75-3286,960-75-3286,960753286,960753286,match,1.0,0.441,960-75-3286,both readers agree
batch1-0342.jpg,client_name,Brown and Sons,Brown and Sons,brown and sons,brown and sons,match,1.0,0.932,Brown and Sons,both readers agree
batch1-0342.jpg,client_tax_id,992-88-6386,992-88-6386,992886386,992886386,match,1.0,0.535,992-88-6386,both readers agree
batch1-0342.jpg,invoice_number,79064100,79064100,79064100,79064100,match,1.0,0.972,79064100,both readers agree
batch1-0342.jpg,invoice_date,05/25/2018,05/25/2018,2018-05-25,2018-05-25,match,1.0,0.971,05/25/2018,both readers agree
batch1-0342.jpg,net_worth,"84,44","$ 84,44",84.44,84.44,match,1.0,0.932,"84,44",both readers agree
batch1-0342.jpg,vat,"8,44","$ 8,44",8.44,8.44,match,1.0,0.928,"8,44",both readers agree
batch1-0342.jpg,gross_worth,"92,88","$ 92,88",92.88,92.88,match,1.0,0.938,"92,88",both readers agree
batch1-0343.jpg,seller_name,Williams Group,Williams Group,williams group,williams group,match,1.0,0.943,Williams Group,both readers agree
batch1-0343.jpg,seller_tax_id,930-72-1637,930-72-1637,930721637,930721637,match,1.0,0.553,930-72-1637,both readers agree
batch1-0343.jpg,client_name,Frazier-Davis,Frazier-Davis,frazier davis,frazier davis,match,1.0,0.957,Frazier-Davis,both readers agree
batch1-0343.jpg,client_tax_id,952-75-5780,952-75-5780,952755780,952755780,match,1.0,0.564,952-75-5780,both readers agree
batch1-0343.jpg,invoice_number,69057610,69057610,69057610,69057610,match,1.0,0.969,69057610,both readers agree
batch1-0343.jpg,invoice_date,08/20/2013,08/20/2013,2013-08-20,2013-08-20,match,1.0,0.968,08/20/2013,both readers agree
batch1-0343.jpg,net_worth,"15 936,26","$ 15 936,26",15936.26,15936.26,match,1.0,0.891,"15 936,26",both readers agree
batch1-0343.jpg,vat,"1 593,63","$ 1 593,63",1593.63,1593.63,match,1.0,0.92,"1 593,63",both readers agree
batch1-0343.jpg,gross_worth,"17 529,89","$ 17 529,89",17529.89,17529.89,match,1.0,0.917,"17 529,89",both readers agree
batch1-0344.jpg,seller_name,Saunders-Lee,Saunders-Lee,saunders lee,saunders lee,match,1.0,0.959,Saunders-Lee,both readers agree
batch1-0344.jpg,seller_tax_id,991-83-4896,991-83-4896,991834896,991834896,match,1.0,0.435,991-83-4896,both readers agree
batch1-0344.jpg,client_name,Molina Inc,Molina Inc,molina,molina,match,1.0,0.938,Molina Inc,both readers agree
batch1-0344.jpg,client_tax_id,936-85-0485,936-85-0485,936850485,936850485,match,1.0,0.563,936-85-0485,both readers agree
batch1-0344.jpg,invoice_number,85473134,85473134,85473134,85473134,match,1.0,0.965,85473134,both readers agree
batch1-0344.jpg,invoice_date,04/24/2017,04/24/2017,2017-04-24,2017-04-24,match,1.0,0.96,04/24/2017,both readers agree
batch1-0344.jpg,net_worth,"808,87","$ 808,87",808.87,808.87,match,1.0,0.925,"808,87",both readers agree
batch1-0344.jpg,vat,"80,89","$ 80,89",80.89,80.89,match,1.0,0.924,"80,89",both readers agree
batch1-0344.jpg,gross_worth,"889,76","$ 889,76",889.76,889.76,match,1.0,0.937,"889,76",both readers agree
batch1-0345.jpg,seller_name,Jones and Sons,Jones and Sons,jones and sons,jones and sons,match,1.0,0.929,Jones and Sons,both readers agree
batch1-0345.jpg,seller_tax_id,952-76-3987,,952763987,,one_missing,0.0,,952-76-3987,only Gemini found a value (uncorroborated)
batch1-0345.jpg,client_name,Hamilton-Simmons,Hamilton-Simmons,hamilton simmons,hamilton simmons,match,1.0,0.956,Hamilton-Simmons,both readers agree
batch1-0345.jpg,client_tax_id,992-84-7640,992-84-7640,992847640,992847640,match,1.0,0.558,992-84-7640,both readers agree
batch1-0345.jpg,invoice_number,92919413,92919413,92919413,92919413,match,1.0,0.964,92919413,both readers agree
batch1-0345.jpg,invoice_date,10/04/2020,10/04/2020,2020-10-04,2020-10-04,match,1.0,0.95,10/04/2020,both readers agree
batch1-0345.jpg,net_worth,"5 992,66","$ 5 992,66",5992.66,5992.66,match,1.0,0.915,"5 992,66",both readers agree
batch1-0345.jpg,vat,"599,27","$ 599,27",599.27,599.27,match,1.0,0.925,"599,27",both readers agree
batch1-0345.jpg,gross_worth,"6 591,93","$ 6 591,93",6591.93,6591.93,match,1.0,0.919,"6 591,93",both readers agree
batch1-0346.jpg,seller_name,"Moran, Harris and Smith","Moran, Harris and Smith",moran harris and smith,moran harris and smith,match,1.0,0.921,"Moran, Harris and Smith",both readers agree
batch1-0346.jpg,seller_tax_id,907-77-8712,,907778712,,one_missing,0.0,,907-77-8712,only Gemini found a value (uncorroborated)
batch1-0346.jpg,client_name,Hughes-Raymond,Hughes-Raymond,hughes raymond,hughes raymond,match,1.0,0.958,Hughes-Raymond,both readers agree
batch1-0346.jpg,client_tax_id,934-84-4841,934-84-4841,934844841,934844841,match,1.0,0.415,934-84-4841,both readers agree
batch1-0346.jpg,invoice_number,49380136,49380136,49380136,49380136,match,1.0,0.968,49380136,both readers agree
batch1-0346.jpg,invoice_date,02/21/2019,02/21/2019,2019-02-21,2019-02-21,match,1.0,0.967,02/21/2019,both readers agree
batch1-0346.jpg,net_worth,"173,29","$ 173,29",173.29,173.29,match,1.0,0.916,"173,29",both readers agree
batch1-0346.jpg,vat,"17,33","$ 17,33",17.33,17.33,match,1.0,0.926,"17,33",both readers agree
batch1-0346.jpg,gross_worth,"190,62","$ 190,62",190.62,190.62,match,1.0,0.929,"190,62",both readers agree
batch1-0347.jpg,seller_name,"Henderson, Brown and Carson","Henderson, Brown and Carson",henderson brown and carson,henderson brown and carson,match,1.0,0.923,"Henderson, Brown and Carson",both readers agree
batch1-0347.jpg,seller_tax_id,975-87-2875,975-87-2875,975872875,975872875,match,1.0,0.474,975-87-2875,both readers agree
batch1-0347.jpg,client_name,"Brown, Dodson and Weaver","Brown, Dodson and Weaver",brown dodson and weaver,brown dodson and weaver,match,1.0,0.921,"Brown, Dodson and Weaver",both readers agree
batch1-0347.jpg,client_tax_id,981-79-3397,981-79-3397,981793397,981793397,match,1.0,0.414,981-79-3397,both readers agree
batch1-0347.jpg,invoice_number,89042780,89042780,89042780,89042780,match,1.0,0.969,89042780,both readers agree
batch1-0347.jpg,invoice_date,10/16/2015,10/16/2015,2015-10-16,2015-10-16,match,1.0,0.968,10/16/2015,both readers agree
batch1-0347.jpg,net_worth,"1 908,56","$ 1 908,56",1908.56,1908.56,match,1.0,0.915,"1 908,56",both readers agree
batch1-0347.jpg,vat,"190,86","$ 190,86",190.86,190.86,match,1.0,0.916,"190,86",both readers agree
batch1-0347.jpg,gross_worth,"2 099,42","$ 2 099,42",2099.42,2099.42,match,1.0,0.92,"2 099,42",both readers agree
batch1-0348.jpg,seller_name,Miller Inc,Miller Inc,miller,miller,match,1.0,0.939,Miller Inc,both readers agree
batch1-0348.jpg,seller_tax_id,938-92-9047,938-92-9047,938929047,938929047,match,1.0,0.535,938-92-9047,both readers agree
batch1-0348.jpg,client_name,Conley-Irwin,Conley-Irwin,conley irwin,conley irwin,match,1.0,0.513,Conley-Irwin,both readers agree
batch1-0348.jpg,client_tax_id,997-98-1436,997-98-1436,997981436,997981436,match,1.0,0.555,997-98-1436,both readers agree
batch1-0348.jpg,invoice_number,50956755,50956755,50956755,50956755,match,1.0,0.959,50956755,both readers agree
batch1-0348.jpg,invoice_date,09/06/2019,09/06/2019,2019-09-06,2019-09-06,match,1.0,0.95,09/06/2019,both readers agree
batch1-0348.jpg,net_worth,"29 049,84","$ 29 049,84",29049.84,29049.84,match,1.0,0.789,"29 049,84",both readers agree
batch1-0348.jpg,vat,"2 904,98","$ 2 904,98",2904.98,2904.98,match,1.0,0.889,"2 904,98",both readers agree
batch1-0348.jpg,gross_worth,"31 954,82","$ 31 954,82",31954.82,31954.82,match,1.0,0.918,"31 954,82",both readers agree
batch1-0349.jpg,seller_name,"Hernandez, Barber and Jones","Hernandez, Barber and Jones",hernandez barber and jones,hernandez barber and jones,match,1.0,0.915,"Hernandez, Barber and Jones",both readers agree
batch1-0349.jpg,seller_tax_id,934-99-4537,934-99-4537,934994537,934994537,match,1.0,0.443,934-99-4537,both readers agree
batch1-0349.jpg,client_name,Hall-Skinner,Hall-Skinner,hall skinner,hall skinner,match,1.0,0.916,Hall-Skinner,both readers agree
batch1-0349.jpg,client_tax_id,944-87-7634,944-87-7634,944877634,944877634,match,1.0,0.441,944-87-7634,both readers agree
batch1-0349.jpg,invoice_number,39571754,39571754,39571754,39571754,match,1.0,0.965,39571754,both readers agree
batch1-0349.jpg,invoice_date,07/03/2013,07/03/2013,2013-07-03,2013-07-03,match,1.0,0.956,07/03/2013,both readers agree
batch1-0349.jpg,net_worth,"6 950,20","$ 6 950,20",6950.20,6950.20,match,1.0,0.894,"6 950,20",both readers agree
batch1-0349.jpg,vat,"695,02","$ 695,02",695.02,695.02,match,1.0,0.926,"695,02",both readers agree
batch1-0349.jpg,gross_worth,"7 645,22","$ 7 645,22",7645.22,7645.22,match,1.0,0.919,"7 645,22",both readers agree
batch1-0350.jpg,seller_name,Daniel-Benson,Daniel-Benson,daniel benson,daniel benson,match,1.0,0.957,Daniel-Benson,both readers agree
batch1-0350.jpg,seller_tax_id,991-85-2472,991-85-2472,991852472,991852472,match,1.0,0.443,991-85-2472,both readers agree
batch1-0350.jpg,client_name,"Mcdonald, Jordan and Malone","Mcdonald, Jordan and Malone",mcdonald jordan and malone,mcdonald jordan and malone,match,1.0,0.917,"Mcdonald, Jordan and Malone",both readers agree
batch1-0350.jpg,client_tax_id,925-92-0610,925-92-0610,925920610,925920610,match,1.0,0.412,925-92-0610,both readers agree
batch1-0350.jpg,invoice_number,39077025,39077025,39077025,39077025,match,1.0,0.965,39077025,both readers agree
batch1-0350.jpg,invoice_date,12/15/2011,12/15/2011,2011-12-15,2011-12-15,match,1.0,0.958,12/15/2011,both readers agree
batch1-0350.jpg,net_worth,"3 546,94","$ 3 546,94",3546.94,3546.94,match,1.0,0.904,"3 546,94",both readers agree
batch1-0350.jpg,vat,"354,69","$ 354,69",354.69,354.69,match,1.0,0.919,"354,69",both readers agree
batch1-0350.jpg,gross_worth,"3 901,63","$ 3 901,63",3901.63,3901.63,match,1.0,0.919,"3 901,63",both readers agree
batch1-0351.jpg,seller_name,Poole-Boyle,Poole-Boyle,poole boyle,poole boyle,match,1.0,0.972,Poole-Boyle,both readers agree
batch1-0351.jpg,seller_tax_id,938-78-7124,938-78-7124,938787124,938787124,match,1.0,0.416,938-78-7124,both readers agree
batch1-0351.jpg,client_name,"Ray, Hurst and Cruz","Ray, Hurst and Cruz",ray hurst and cruz,ray hurst and cruz,match,1.0,0.921,"Ray, Hurst and Cruz",both readers agree
batch1-0351.jpg,client_tax_id,924-90-5219,924-90-5219,924905219,924905219,match,1.0,0.434,924-90-5219,both readers agree
batch1-0351.jpg,invoice_number,77015917,77015917,77015917,77015917,match,1.0,0.973,77015917,both readers agree
batch1-0351.jpg,invoice_date,12/21/2017,12/21/2017,2017-12-21,2017-12-21,match,1.0,0.973,12/21/2017,both readers agree
batch1-0351.jpg,net_worth,"99,95","$ 99,95",99.95,99.95,match,1.0,0.74,"99,95",both readers agree
batch1-0351.jpg,vat,"9,99","$ 9,99",9.99,9.99,match,1.0,0.809,"9,99",both readers agree
batch1-0351.jpg,gross_worth,"109,94","$ 109,94",109.94,109.94,match,1.0,0.928,"109,94",both readers agree
batch1-0352.jpg,seller_name,Fernandez LLC,Fernandez LLC,fernandez,fernandez,match,1.0,0.937,Fernandez LLC,both readers agree
batch1-0352.jpg,seller_tax_id,984-86-2338,,984862338,,one_missing,0.0,,984-86-2338,only Gemini found a value (uncorroborated)
batch1-0352.jpg,client_name,Brown-Carr,Brown-Carr,brown carr,brown carr,match,1.0,0.938,Brown-Carr,both readers agree
batch1-0352.jpg,client_tax_id,906-94-4177,906-94-4177,906944177,906944177,match,1.0,0.347,906-94-4177,both readers agree
batch1-0352.jpg,invoice_number,50554106,50554106,50554106,50554106,match,1.0,0.957,50554106,both readers agree
batch1-0352.jpg,invoice_date,12/17/2012,12/17/2012,2012-12-17,2012-12-17,match,1.0,0.952,12/17/2012,both readers agree
batch1-0352.jpg,net_worth,"17 148,75","$ 17 148,75",17148.75,17148.75,match,1.0,0.894,"17 148,75",both readers agree
batch1-0352.jpg,vat,"1 714,88","$ 1 714,88",1714.88,1714.88,match,1.0,0.901,"1 714,88",both readers agree
batch1-0352.jpg,gross_worth,"18 863,63","$ 18 863,63",18863.63,18863.63,match,1.0,0.92,"18 863,63",both readers agree
batch1-0353.jpg,seller_name,Callahan and Sons,Callahan and Sons,callahan and sons,callahan and sons,match,1.0,0.93,Callahan and Sons,both readers agree
batch1-0353.jpg,seller_tax_id,979-84-7639,,979847639,,one_missing,0.0,,979-84-7639,only Gemini found a value (uncorroborated)
batch1-0353.jpg,client_name,King-Harris,King-Harris,king harris,king harris,match,1.0,0.938,King-Harris,both readers agree
batch1-0353.jpg,client_tax_id,988-88-5388,988-88-5388,988885388,988885388,match,1.0,0.536,988-88-5388,both readers agree
batch1-0353.jpg,invoice_number,10819011,10819011,10819011,10819011,match,1.0,0.967,10819011,both readers agree
batch1-0353.jpg,invoice_date,02/09/2018,02/09/2018,2018-02-09,2018-02-09,match,1.0,0.966,02/09/2018,both readers agree
batch1-0353.jpg,net_worth,"510,64","$ 510,64",510.64,510.64,match,1.0,0.917,"510,64",both readers agree
batch1-0353.jpg,vat,"51,06","$ 51,06",51.06,51.06,match,1.0,0.927,"51,06",both readers agree
batch1-0353.jpg,gross_worth,"561,70","$ 561,70",561.70,561.70,match,1.0,0.933,"561,70",both readers agree
batch1-0354.jpg,seller_name,Garcia Ltd,Garcia Ltd,garcia,garcia,match,1.0,0.939,Garcia Ltd,both readers agree
batch1-0354.jpg,seller_tax_id,996-99-0521,996-99-0521,996990521,996990521,match,1.0,0.436,996-99-0521,both readers agree
batch1-0354.jpg,client_name,"Anderson, Davidson and Webster","Anderson, Davidson and Webster",anderson davidson and webster,anderson davidson and webster,match,1.0,0.916,"Anderson, Davidson and Webster",both readers agree
batch1-0354.jpg,client_tax_id,977-75-8747,977-75-8747,977758747,977758747,match,1.0,0.416,977-75-8747,both readers agree
batch1-0354.jpg,invoice_number,49929761,49929761,49929761,49929761,match,1.0,0.967,49929761,both readers agree
batch1-0354.jpg,invoice_date,02/04/2021,02/04/2021,2021-02-04,2021-02-04,match,1.0,0.959,02/04/2021,both readers agree
batch1-0354.jpg,net_worth,"3 459,66","$ 3 459,66",3459.66,3459.66,match,1.0,0.89,"3 459,66",both readers agree
batch1-0354.jpg,vat,"345,97","$ 345,97",345.97,345.97,match,1.0,0.928,"345,97",both readers agree
